City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
280,Belaya Gora,RU,68.5333,146.4167,47.35,67,42,13.2,scattered clouds
281,Acu,BR,-5.5767,-36.9086,95.99,25,8,11.32,clear sky
282,Nizhniy Tsasuchey,RU,50.5167,115.1333,58.08,80,13,9.24,few clouds
283,Buala,SB,-8.145,159.5921,79.86,81,47,5.46,light rain
284,Guane,CU,22.2025,-84.0875,91.22,48,5,3.29,clear sky
285,Songjianghe,CN,42.1859,127.479,67.89,83,25,3.18,scattered clouds
286,Andros Town,BS,24.7,-77.7667,85.96,59,99,6.49,overcast clouds
287,Adrar,MR,20.5022,-10.0711,107.47,14,16,3.85,few clouds
288,Hudson Bay,CA,52.85,-102.3842,73.83,40,4,14.0,clear sky
289,The Pas,CA,53.8251,-101.2541,71.01,53,16,15.93,few clouds
290,Yamada,JP,39.4667,141.95,71.4,94,28,5.55,scattered clouds
291,Vilhena,BR,-12.7406,-60.1458,88.66,26,45,6.02,scattered clouds
292,Yushu,CN,44.8,126.5333,76.15,68,90,7.58,light rain
293,Miraflores,MX,19.2167,-98.8083,65.16,51,5,3.51,clear sky
294,Binga,ZW,-17.6203,27.3414,66.85,58,1,6.62,clear sky
295,Russell,US,32.3502,-85.1999,88.99,69,1,0.0,clear sky
296,Sisimiut,GL,66.9395,-53.6735,38.26,94,96,6.13,overcast clouds
297,Lorengau,PG,-2.0226,147.2712,80.01,83,10,5.88,clear sky
298,Ust-Ordynskiy,RU,52.805,104.7508,62.44,84,2,3.71,clear sky
299,Cabo San Lucas,MX,22.8909,-109.9124,92.61,65,0,4.0,clear sky
300,Bundaberg,AU,-24.85,152.35,55.22,83,0,1.01,clear sky
301,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,94,90,14.97,light intensity drizzle
302,Vao,NC,-22.6667,167.4833,70.74,85,27,7.27,scattered clouds
303,Mount Isa,AU,-20.7333,139.5,49.77,50,62,0.0,broken clouds
304,Farah,AF,32.5,62.5,96.98,8,6,3.56,clear sky
305,Tuatapere,NZ,-46.1333,167.6833,39.81,84,100,7.72,overcast clouds
306,Tianpeng,CN,30.9866,103.9393,73.42,95,1,4.09,clear sky
307,Uchiza,PE,-8.4592,-76.4633,82.51,53,8,2.55,clear sky
308,Bulgan,MN,48.8125,103.5347,59.38,83,100,2.66,overcast clouds
309,Marawi,PH,7.9986,124.2928,70.25,88,85,5.88,overcast clouds
310,Mayo,US,38.8876,-76.5119,86.36,55,20,5.01,few clouds
311,Vanavara,RU,60.34,102.2797,65.34,72,4,3.11,clear sky
312,Berkak,NO,62.825,10.0118,65.79,46,83,5.37,broken clouds
313,Miracatu,BR,-24.2814,-47.4597,80.15,38,0,2.26,clear sky
314,Machali,CL,-34.1833,-70.6667,49.91,85,100,2.84,overcast clouds
315,Biak,ID,-0.9131,122.8766,75.0,74,100,6.93,overcast clouds
316,Hami,CN,42.8,93.45,92.55,29,31,8.86,scattered clouds
317,Yulara,AU,-25.2406,130.9889,51.75,54,76,8.1,broken clouds
318,Dubove,UA,48.1721,23.8895,80.04,73,44,0.94,scattered clouds
319,Zhigansk,RU,66.7697,123.3711,57.38,73,3,16.89,clear sky
320,Lipin Bor,RU,60.2622,37.9763,61.88,47,97,0.83,overcast clouds
